,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,A00,Cólera,,,,,,,,,,,,,1.0
1,A01,Febres tifóide e paratifóide,,,,,,,,,,1.0,,,1.0
2,A02,Outras infecções por Salmonella,,,,,,,1.0,,,,,,1.0
3,A03,Shiguelose,,,,,,,,,,,,,1.0
4,A04,Outras infecções intestinais bacterianas,,,,,,,,,,,,,1.0
5,A05,Outras intoxicações alimentares bacterianas,,,,,,,,,,,,,1.0
6,A06,Amebíase,,,,,,,1.0,,,,,,1.0
7,A07,Outras doenças intestinais por protozoários,,,,,,,,,,,,,1.0
8,A08,"Infecções intestinais virais, outras e as não especificadas",,,,,,,,,,,,,1.0
9,A09,Diarréia e gastroenterite de origem infecciosa presumível,,1.0,,,,,,,,,,,1.0
10,A15,"Tuberculose respiratória, com confirmação bacteriológica e histo ló  g  i c  a",34.0,29.0,37.0,29.0,28.0,33.0,31.0,34.0,35.0,39.0,26.0,21.0,1.0
11,A17,Tuberculose do sistema nervoso,,,,,,,,,,2.0,,,1.0
12,A18,Tuberculose de outros órgãos,,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0
13,A19,Tuberculose miliar,,3.0,,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0
14,A20,Peste,,,,,,,,,,,,,1.0
15,A21,Tularemia,,,,,,,,,,,,,1.0
16,A22,Carbúnculo,,,,,,,,,,,,,1.0
17,A23,Brucelose,14.0,2.0,6.0,4.0,2.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0
18,A24,Mormo e melioidose,,1.0,,,,1.0,,,,,,,1.0
19,A25,Febres transmitidas por mordedura de rato,,,,,,,,,,,,,1.0
20,A26,Erisipelóide,,,,,,,1.0,,,,,,1.0
21,A27,Leptospirose,5.0,7.0,4.0,6.0,3.0,4.0,4.0,6.0,7.0,3.0,,6.0,1.0
22,A30,Hanseníase [doença de Hansen] [lepra],,,2.0,,2.0,,3.0,2.0,3.0,1.0,1.0,,1.0
23,A31,Infecções devidas a outras micobactérias,,1.0,1.0,,,,,,,1.0,,,1.0
24,A32,Listeriose [listeríase],,,,,,,,,,,,,1.0
25,A33,Tétano do recém-nascido [neonatal],,,,,,,,,,,,,1.0
26,A34,Tétano obstétrico,,,,,,,,,,,,,1.0
