,CID10,DESC,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NUMCAP
0,B55,- Leishmaniose,6.0,15.0,27.0,12.0,7.0,11.0,7.0,12.0,6.0,6.0,3.0,3.0,1.0
1,C16,- Neoplasia maligna do estômago,3.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0
2,C44,- Outras neoplasias malignas da pele,16.0,27.0,26.0,30.0,31.0,17.0,23.0,15.0,19.0,17.0,9.0,15.0,2.0
3,I21,- Infarto agudo do miocárdio,12.0,21.0,20.0,12.0,17.0,7.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0
4,I82,- Outra embolia e trombose venosas,3.0,15.0,12.0,10.0,9.0,8.0,5.0,4.0,7.0,8.0,5.0,5.0,9.0
5,I83,- Varizes dos membros inferiores,56.0,74.0,73.0,74.0,76.0,94.0,67.0,79.0,49.0,58.0,50.0,43.0,9.0
6,I84,- Hemorróidas,7.0,15.0,10.0,8.0,14.0,7.0,10.0,13.0,14.0,11.0,11.0,4.0,9.0
7,I87,- Outros transtornos das veias,3.0,9.0,4.0,4.0,7.0,3.0,3.0,2.0,3.0,1.0,5.0,1.0,9.0
8,F31,- Transtorno afetivo bipolar,25.0,38.0,35.0,37.0,37.0,53.0,31.0,48.0,26.0,27.0,22.0,21.0,5.0
9,F32,- Episódios depressivos,181.0,247.0,278.0,209.0,252.0,251.0,179.0,226.0,211.0,196.0,187.0,129.0,5.0
10,F33,- Transtorno depressivo recorrente,64.0,78.0,97.0,81.0,76.0,77.0,69.0,89.0,79.0,66.0,74.0,50.0,5.0
11,F41,- Outros transtornos ansiosos,153.0,225.0,260.0,228.0,215.0,237.0,197.0,224.0,173.0,150.0,169.0,163.0,5.0
12,G82,- Paraplegia e tetraplegia,4.0,4.0,6.0,8.0,4.0,2.0,1.0,6.0,1.0,4.0,3.0,3.0,6.0
13,H16,- Ceratite,9.0,13.0,13.0,17.0,12.0,24.0,17.0,8.0,18.0,10.0,12.0,8.0,7.0
14,H18,- Outros transtornos da córnea,3.0,2.0,4.0,3.0,7.0,4.0,3.0,3.0,4.0,2.0,9.0,3.0,7.0
15,H26,- Outras cataratas,4.0,4.0,9.0,6.0,11.0,2.0,7.0,4.0,4.0,7.0,3.0,4.0,7.0
16,H33,- Descolamentos e defeitos da retina,11.0,6.0,12.0,9.0,10.0,4.0,5.0,9.0,7.0,7.0,3.0,6.0,7.0
17,H44,- Transtornos do globo ocular,2.0,5.0,4.0,7.0,2.0,7.0,3.0,5.0,5.0,4.0,3.0,2.0,7.0
18,H54,- Cegueira e visão subnormal,10.0,19.0,24.0,20.0,15.0,13.0,14.0,28.0,19.0,18.0,22.0,18.0,7.0
19,J45,- Asma,20.0,21.0,35.0,17.0,19.0,29.0,15.0,21.0,16.0,8.0,22.0,11.0,10.0
20,K42,- Hérnia umbilical,33.0,64.0,78.0,65.0,56.0,57.0,52.0,40.0,41.0,41.0,57.0,37.0,11.0
21,K43,- Hérnia ventral,14.0,15.0,16.0,7.0,12.0,20.0,13.0,17.0,18.0,9.0,19.0,4.0,11.0
22,K45,- Outras hérnias abdominais,2.0,10.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,5.0,11.0
23,K46,- Hérnia abdominal não especificada,9.0,7.0,13.0,6.0,11.0,17.0,7.0,12.0,10.0,3.0,12.0,5.0,11.0
