"Brasília, 18 de janeiro de 2009",,
Acompanhamento Mensal dos Benefícios Auxílios-Doença Acidenciários Concedidos segundo os Códigos da CID-10 – Janeiro a Dezembro de 2008,,
CID-10 - 3 Caracteres Janeiro Fevereiro Março Abril Maio Junho Julho Agosto Setembro Outubro,Novembro,Dezembro
TOTAL 24.795   24.592  27.319 29.110 26.616  28.242 29.159  28.361 36.831 39.393,32.773,29.145
Capítulo I: Algumas doenças infecciosas e parasitárias (A00-B99) 176 183 200 209 174 171 165 204 241 221,183,159
A00-A09 Doenças infecciosas intestinais – – 1 – – – – – – –,–,–
A00 Cólera – – – – – – – – – –,–,–
A01 Febres tifóide e paratifóide – – 1 – – – – – – –,–,–
A02 Outras infecções por Salmonella – – – – – – – – – –,–,–
A03 Shiguelose – – – – – – – – – –,–,–
A04 Outras infecções intestinais bacterianas – – – – – – – – – –,–,–
A05 Outras intoxicações alimentares bacterianas – – – – – – – – – –,–,–
A06 Amebíase – – – – – – – – – –,–,–
A07 Outras doenças intestinais por protozoários – – – – – – – – – –,–,–
"A08 Infecções intestinais virais, outras e as não especificadas – – – – – – – – – –",–,–
A09 Diarréia e gastroenterite de origem infecciosa presumível – – – – – – – – – –,–,–
A15-A19 Tuberculose 86 83 83 89 73 75 70 90 126 115,87,72
"A15 Tuberculose respiratória, com confirmação bacteriológica e his 55 44 61 54 37 53 43 59 79 66",53,49
"A16 Tuberculose das vias respiratórias, sem confirmação bacterioló27 35 19 28 32 17 20 25 40 43",32,21
A17† Tuberculose do sistema nervoso 1 – – 1 – – – 3 – –,–,–
A18 Tuberculose de outros órgãos 3 4 2 4 4 2 6 2 3 4,1,1
A19 Tuberculose miliar – – 1 2 – 3 1 1 4 2,1,1
A20-A28 Algumas doenças bacterianas zoonóticas 1 0 10 9 14 6 8 7 9 7 5,8,9
A20 Peste – – – – – – – – – –,–,–
A21 Tularemia – – – – – – – – – –,–,–
A22 Carbúnculo – – – 1 – – – – – –,1,–
A23 Brucelose – – – 3 1 – – 1 1 1,–,–
A24 Mormo e melioidose – – – – – – – – – –,–,–
A25 Febres transmitidas por mordedura de rato – – – – – – – – – 1,–,–
A26 Erisipelóide – – – – – – – – – –,–,–
A27 Leptospirose 1 0 10 9 10 5 8 7 8 6 3,7,9
A28 Outras doenças bacterianas zoonóticas não classificadas em o – – – – – – – – – –,–,–
A30-A49 Outras doenças bacterianas 2 6 7 9 6 6 1 7 4 10,6,9
A30 Hanseníase [doença de Hansen] [lepra] – – – 1 – – – 2 1 2,–,2
A31 Infecções devidas a outras micobactérias – – – – – – – – – –,–,–
A32 Listeriose [listeríase] – – – – – – – – – –,–,–
A33 Tétano do recém-nascido [neonatal] – – – – – – – – – –,–,–
A34 Tétano obstétrico – – 1 – – – – – – –,–,–
A35 Outros tipos de tétano 1 1 1 3 2 1 – 1 2 1,1,1
A36 Difteria – – – – – – – – – –,–,–
A37 Coqueluche – – – – – – – – – –,–,–
A38 Escarlatina – – – – – – – – – –,–,–
A39 Infecção meningogócica – – – – – – – – – –,–,–
A40 Septicemia estreptocócica – – – 1 – – – – – –,–,–
A41 Outras septicemias – – – – 2 – – – – –,–,–
A42 Actinomicose – – – – – – – – – –,1,–
A43 Nocardiose – – – – – – – – – –,–,–
A44 Bartonelose – – – – – – – – – –,–,–
A46 Erisipela 1 3 5 4 1 4 – 4 1 7,4,5
A48 Outras doenças bacterianas não classificadas em outra parte – 2 – – 1 1 1 – – –,–,1
A49 Infecção bacteriana de local não especificado – – – – – – – – – –,–,–
A50-A64,Infecções de transmissão predominantemente sexual,–,–,–,–,–,–,–,–,–,–,–,–
A50,Sífilis congênita,–,–,–,–,–,–,–,–,–,–,–,–
A51,Sífilis precoce,–,–,–,–,–,–,–,–,–,–,–,–
A52,Sífilis tardia,–,–,–,–,–,–,–,–,–,–,–,–
A53,Outras formas e as não especificadas da sífilis,–,–,–,–,–,–,–,–,–,–,–,–
A54,Infecção gonocócica,–,–,–,–,–,–,–,–,–,–,–,–
A55,Linfogranuloma (venéreo) por clamídia,–,–,–,–,–,–,–,–,–,–,–,–
A56,Outras infecções causadas por clamídias transmitidas por via s,–,–,–,–,–,–,–,–,–,–,–,–
A57,Cancro mole,–,–,–,–,–,–,–,–,–,–,–,–
A58,Granuloma inguinal,–,–,–,–,–,–,–,–,–,–,–,–
A59,Tricomoníase,–,–,–,–,–,–,–,–,–,–,–,–
A60,Infecções anogenitais pelo vírus do herpes [herpes simples],–,–,–,–,–,–,–,–,–,–,–,–
A63,"Outras doenças de transmissão predominantemente sexual, nã",–,–,–,–,–,–,–,–,–,–,–,–
A64,"Doenças sexualmente transmitidas, não especificadas",–,–,–,–,–,–,–,–,–,–,–,–
A65-A69,Outras doenças por espiroquetas,–,–,–,–,–,–,–,–,–,–,–,–
A65,Sífilis não-venérea,–,–,–,–,–,–,–,–,–,–,–,–
A66,Bouba,–,–,–,–,–,–,–,–,–,–,–,–
A67,Pinta [carate],–,–,–,–,–,–,–,–,–,–,–,–
A68,Febres recorrentes [Borrelioses],–,–,–,–,–,–,–,–,–,–,–,–
A69,Outras infecções por espiroquetas,–,–,–,–,–,–,–,–,–,–,–,–
A70-A74,Outras doenças causadas por clamídias,–,–,–,–,1,–,–,–,–,–,–,–
A70,Infecções causadas por Clamídia psittaci,–,–,–,–,–,–,–,–,–,–,–,–
A71,Tracoma,–,–,–,–,1,–,–,–,–,–,–,–
A74,Outras doenças causadas por Clamídias,–,–,–,–,–,–,–,–,–,–,–,–
A75-A79,Rickettsioses,–,–,–,–,–,–,–,–,–,–,–,–
A75,Tifo exantemático,–,–,–,–,–,–,–,–,–,–,–,–
A77,Febre maculosa [rickettsioses transmitidas por carrapatos],–,–,–,–,–,–,–,–,–,–,–,–
A78,Febre Q,–,–,–,–,–,–,–,–,–,–,–,–
A79,Outras rickettsioses,–,–,–,–,–,–,–,–,–,–,–,–
A80-A89,Infecções virais do sistema nervoso central,–,–,–,–,–,–,–,–,–,–,–,–
A80,Poliomielite aguda,–,–,–,–,–,–,–,–,–,–,–,–
A81,Infecções por vírus lentos do sistema nervoso central,–,–,–,–,–,–,–,–,–,–,–,–
A82,Raiva,–,–,–,–,–,–,–,–,–,–,–,–
A83,Encefalite por vírus transmitidos por mosquitos,–,–,–,–,–,–,–,–,–,–,–,–
A84,Encefalite por vírus transmitido por carrapatos,–,–,–,–,–,–,–,–,–,–,–,–
A85,"Outras encefalites virais, não classificadas em outra parte",–,–,–,–,–,–,–,–,–,–,–,–
A86,"Encefalite viral, não especificada",–,–,–,–,–,–,–,–,–,–,–,–
A87,Meningite viral,–,–,–,–,–,–,–,–,–,–,–,–
A88,Outras infecções virais do sistema nervoso central não classific,–,–,–,–,–,–,–,–,–,–,–,–
A89,Infecções virais não especificadas do sistema nervoso central,–,–,–,–,–,–,–,–,–,–,–,–
A90-A99,Febres por arbovírus e febres hemorrágicas virais,2,3,5,16,16,5,1,3,3,–,1,2
A90,Dengue [dengue clássico],2,3,5,16,16,5,1,2,2,–,1,2
A91,Febre hemorrágica devida ao vírus do dengue,–,–,–,–,–,–,–,–,–,–,–,–
A92,Outras febres virais transmitidas por mosquitos,–,–,–,–,–,–,–,–,–,–,–,–
A93,Outras febres por vírus transmitidas por artrópodes não classif,–,–,–,–,–,–,–,–,–,–,–,–
A94,"Febre viral transmitida por artrópodes, não especificada",–,–,–,–,–,–,–,–,–,–,–,–
A95,Febre amarela,–,–,–,–,–,–,–,–,1,–,–,–
A96,Febre hemorrágica por arenavírus,–,–,–,–,–,–,–,–,–,–,–,–
A98,"Outras febres hemorrágicas por vírus, não classificadas em ou",–,–,–,–,–,–,–,1,–,–,–,–
A99,Febres hemorrágicas virais não especificadas,–,–,–,–,–,–,–,–,–,–,–,–
B00-B09,Infecções virais caracterizadas por lesões de pele e mucos,–,–,1,–,–,–,2,–,–,–,–,–
B00,Infecções pelo vírus do herpes [herpes simples],–,–,–,–,–,–,–,–,–,–,–,–
B01,Varicela,–,–,–,–,–,–,–,–,–,–,–,–
B02,Herpes zoster [Zona],–,–,–,–,–,–,1,–,–,–,–,–
B03,Varíola,–,–,–,–,–,–,–,–,–,–,–,–
B04,Varíola dos macacos [Monkeypox],–,–,–,–,–,–,–,–,–,–,–,–
B05,Sarampo,–,–,–,–,–,–,–,–,–,–,–,–
B06,Rubéola,–,–,–,–,–,–,1,–,–,–,–,–
B07,Verrugas de origem viral,–,–,–,–,–,–,–,–,–,–,–,–
B08,Outras infecções virais caracterizadas por lesões da pele e das,–,–,1,–,–,–,–,–,–,–,–,–
B09,Infecção viral não especificada caracterizada por lesões da pe,–,–,–,–,–,–,–,–,–,–,–,–
B15-B19,Hepatite viral,2 5,36,30,21,26,19,29,29,23,27,19,21
B15,Hepatite aguda A,9,14,8,7,8,7,8,7,8,11,4,6
B16,Hepatite aguda B,3,5,2,2,2,3,3,4,2,3,2,5
B17,Outras hepatites virais agudas,2,3,1,–,4,–,4,3,1,1,1,1
B18,Hepatite viral crônica,1 1,14,18,12,12,9,14,15,12,12,12,9
B19,Hepatite viral não especificada,–,–,1,–,–,–,–,–,–,–,–,–
B20-B24,Doenças pelo vírus da imunodeficiência humana [HIV],31,18,29,22,21,30,29,22,21,21,30,18
B20,"Doença pelo vírus da imunodeficiência humana [HIV], resultan",9,5,11,11,11,6,11,6,8,5,8,5
B21,"Doença pelo vírus da imunodeficiência humana [HIV], resultan",–,–,–,1,–,–,1,–,–,–,–,–
B22,Doença pelo vírus da imunodeficiência humana [HIV] resultand,3,1,–,–,–,2,2,1,1,1,–,–
B23,Doença pelo vírus da imunodeficiência humana [HIV] resultand,1,1,2,1,4,7,1,1,–,2,1,3
B24,Doença pelo vírus da imunodeficiência humana [HIV] não espe,18,11,16,9,6,15,14,14,12,13,21,10
B25-B34,Outras doenças por vírus,2,1,–,–,–,–,–,–,–,–,–,–
B25,Doença por citomegalovírus,–,1,–,–,–,–,–,–,–,–,–,–
B26,Caxumba [Parotidite epidêmica],–,–,–,–,–,–,–,–,–,–,–,–
B27,Mononucleose infecciosa,–,–,–,–,–,–,–,–,–,–,–,–
B30,Conjuntivite viral,–,–,–,–,–,–,–,–,–,–,–,–
B33,Outras doenças por vírus não classificada em outra parte,–,–,–,–,–,–,–,–,–,–,–,–
B34,"Doenças por vírus, de localização não especificada",2,–,–,–,–,–,–,–,–,–,–,–
B35-B49,Micoses,7,10,15,17,14,5,9,18,24,16,11,14
B35,Dermatofitose,5,7,4,6,11,1,1,4,11,4,2,5
B36,Outras micoses superficiais,–,–,–,–,–,–,–,–,–,–,–,–
B37,Candidíase,–,–,1,–,1,–,3,1,3,3,–,1
B38,Coccidioidomicose,–,–,–,–,–,–,–,–,–,–,–,–
B39,Histoplasmose,–,–,–,–,–,–,–,–,–,–,–,–
B40,Blastomicose,–,–,–,–,–,–,–,–,1,1,1,1
B41,Paracoccidioidomicose,2,3,10,10,2,4,5,13,9,8,7,7
B42,Esporotricose,–,–,–,–,–,–,–,–,–,–,–,–
B43,Cromomicose e abscesso feomicótico,–,–,–,1,–,–,–,–,–,–,1,–
B44,Aspergilose,–,–,–,–,–,–,–,–,–,–,–,–
B45,Criptococose,–,–,–,–,–,–,–,–,–,–,–,–
B46,Zigomicose,–,–,–,–,–,–,–,–,–,–,–,–
B47,Micetoma,–,–,–,–,–,–,–,–,–,–,–,–
B48,"Outras micoses, não classificadas em outra parte",–,–,–,–,–,–,–,–,–,–,–,–
